Date,Actual NIFTY 50,ARIMA Forecast,ARIMA Lower 95%,ARIMA Upper 95%,Prophet Forecast,Prophet Lower 95%,Prophet Upper 95%
2026-05-14,23689.599609375,23412.599609375,23057.151929908396,23768.047288841604,24840.044413940246,23750.684508413626,25867.20521026352
2026-05-15,23643.5,23412.599609375,22909.920680359286,23915.278538390714,24842.730806854608,23876.47656360931,25887.325130177385
2026-05-18,23649.94921875,23412.599609375,22796.946169106388,24028.253049643612,24915.18348681764,23847.102108384093,25934.17559874193
2026-05-19,23618.0,23412.599609375,22701.704250441795,24123.494968308205,24965.335588244852,23891.06110983075,25961.01059515414
2026-05-20,23659.0,23412.599609375,22617.79443564312,24207.40478310688,25015.655767423974,23976.40097124318,25991.671655294547
2026-05-21,23654.69921875,23412.599609375,22541.934164425475,24283.265054324525,25037.625664681196,23964.102245895938,26053.092610090403
2026-05-22,23719.30078125,23412.599609375,22472.173445411372,24353.025773338628,25052.640310368566,24090.898184566042,26048.24366882239
2026-05-25,24031.69921875,23412.599609375,22407.241751343572,24417.957467406428,25149.386010757735,24096.380402608735,26274.24843021202
2026-05-26,23913.69921875,23412.599609375,22346.256570975194,24478.942647774806,25202.80881879952,24176.028157165627,26263.945390610912
2026-05-27,23907.150390625,23412.599609375,22288.575353239074,24536.623865510926,25253.823695389765,24187.131485483063,26264.59181252483
2026-05-28,23907.150390625,23412.599609375,22233.713023981767,24591.486194768233,25273.902556817295,24186.914762019835,26312.977852680793
2026-05-29,23547.75,23412.599609375,22181.292728837776,24643.906489912224,25284.49079595207,24234.145766604226,26300.325072022064
2026-06-01,23382.599609375,23412.599609375,22131.014775313477,24694.184443436523,25354.120507113592,24377.069387028954,26342.417991342416
2026-06-02,23483.55078125,23412.599609375,22082.636173887135,24742.563044862865,25394.61788004975,24407.849285456843,26464.935870689627
2026-06-03,23405.599609375,23412.599609375,22035.95666635278,24789.24255239722,25431.241967246602,24397.794556305405,26450.43612582786
2026-06-04,23416.55078125,23412.599609375,21990.808891508594,24834.390327241406,25435.806371301183,24433.172923340942,26518.035104963506
2026-06-05,23366.69921875,23412.599609375,21947.05128255351,24878.14793619649,25430.123368035547,24444.508613347338,26473.071797026427
2026-06-08,23123.0,23412.599609375,21904.56282232786,24920.63639642214,25450.251730032942,24479.34025994582,26534.68312153612
2026-06-09,23242.099609375,23412.599609375,21863.239094864046,24961.960123885954,25475.298044369225,24428.76260096082,26607.40484737411
2026-06-10,23214.94921875,23412.599609375,21822.989261911243,25002.209956838757,25497.598800063253,24400.25968387528,26453.03081730596
2026-06-11,23161.599609375,23412.599609375,21783.733712622896,25041.465506127104,25489.288656766814,24387.64135403541,26582.42931646647
2026-06-12,23622.900390625,23412.599609375,21745.402211812183,25079.797006937817,25472.462368105,24423.139874291828,26508.494717813905
2026-06-15,23853.900390625,23412.599609375,21707.932423300714,25117.266795449286,25471.65878968989,24449.900089650688,26493.025770059852
2026-06-16,23989.150390625,23412.599609375,21671.268719475953,25153.930499274047,25494.325742509922,24391.709989806783,26497.099203349917
2026-06-17,24085.69921875,23412.599609375,21635.36121204199,25189.83800670801,25516.61638655734,24437.4339803652,26472.470606769828
2026-06-18,24168.0,23412.599609375,21600.164955713524,25225.034263036476,25510.618388484334,24450.418420695863,26538.89519714059
2026-06-19,24013.099609375,23412.599609375,21565.639288569168,25259.559930180832,25498.321804672494,24469.114997932556,26522.32881308515
2026-06-22,24102.900390625,23412.599609375,21531.747281447744,25293.451937302256,25522.577845597527,24433.10295401093,26480.14761491749
2026-06-23,23824.099609375,23412.599609375,21498.45527513383,25326.74394361617,25556.585408230058,24532.735060400613,26599.981029412942
2026-06-24,24021.650390625,23412.599609375,21465.732488807764,25359.466729942236,25591.20432759364,24544.520329026767,26634.301773901447
2026-06-25,24056.0,23412.599609375,21433.550686790226,25391.648531959774,25598.182816790293,24457.825796653073,26696.615581705926
2026-06-26,24056.0,23412.599609375,21401.883893312148,25423.315325437852,25599.159969245557,24511.26208870716,26605.96595633653
2026-06-29,23946.25,23412.599609375,21370.708147112535,25454.491071637465,25661.530870321007,24566.06286642937,26619.47026707886
2026-06-30,23865.75,23412.599609375,21340.00128927085,25485.19792947915,25706.58022781155,24611.498668635282,26793.659139745527
2026-07-01,24005.849609375,23412.599609375,21309.742778932963,25515.456439817037,25750.92543892053,24634.514079109627,26828.123605337732
2026-07-02,24175.69921875,23412.599609375,21279.91353257539,25545.28568617461,25766.07741856391,24593.320819267326,26835.549560442956
2026-07-03,24270.849609375,23412.599609375,21250.495783234102,25574.703435515898,25773.481487345944,24739.930839917357,26842.432866316947
2026-07-06,24430.349609375,23412.599609375,21221.47295674825,25603.72626200175,25843.44754654531,24730.39634455208,26899.274585019382
2026-07-07,24398.69921875,23412.599609375,21192.829562570718,25632.369656179282,25886.988558829085,24739.7272770432,27023.036933193267
2026-07-08,23882.05078125,23412.599609375,21164.551097103147,25660.648121646853,25927.86158299133,24836.766210261245,27006.205285329375
2026-07-09,23962.80078125,23412.599609375,21136.62395784314,25688.57526090686,25937.684547092693,24831.690949751723,27047.047766552347
