Date,Forecast,Lower 95%,Upper 95%,Model
2026-08-06,24624.650390625,24269.72708417446,24979.57369707554,"ARIMA(0, 1, 0)"
2026-08-07,24624.650390625,24122.713037040347,25126.587744209653,"ARIMA(0, 1, 0)"
2026-08-10,24624.650390625,24009.905191062328,25239.395590187672,"ARIMA(0, 1, 0)"
2026-08-11,24624.650390625,23914.803777723922,25334.497003526078,"ARIMA(0, 1, 0)"
2026-08-12,24624.650390625,23831.017750602605,25418.283030647395,"ARIMA(0, 1, 0)"
2026-08-13,24624.650390625,23755.26939199971,25494.03138925029,"ARIMA(0, 1, 0)"
2026-08-14,24624.650390625,23685.611587256106,25563.689193993894,"ARIMA(0, 1, 0)"
2026-08-17,24624.650390625,23620.77568345569,25628.52509779431,"ARIMA(0, 1, 0)"
2026-08-18,24624.650390625,23559.88047127338,25689.42030997662,"ARIMA(0, 1, 0)"
2026-08-19,24624.650390625,23502.284347563364,25747.016433686636,"ARIMA(0, 1, 0)"
2026-08-20,24624.650390625,23447.502953776235,25801.797827473765,"ARIMA(0, 1, 0)"
2026-08-21,24624.650390625,23395.15999149965,25854.14078975035,"ARIMA(0, 1, 0)"
2026-08-24,24624.650390625,23344.95621036036,25904.34457088964,"ARIMA(0, 1, 0)"
2026-08-25,24624.650390625,23296.648979306105,25952.651801943895,"ARIMA(0, 1, 0)"
2026-08-26,24624.650390625,23250.03833556119,25999.26244568881,"ARIMA(0, 1, 0)"
2026-08-27,24624.650390625,23204.95716482284,26044.34361642716,"ARIMA(0, 1, 0)"
2026-08-28,24624.650390625,23161.26410913596,26088.03667211404,"ARIMA(0, 1, 0)"
2026-08-31,24624.650390625,23118.838329871032,26130.462451378968,"ARIMA(0, 1, 0)"
2026-09-01,24624.650390625,23077.575565099778,26171.725216150222,"ARIMA(0, 1, 0)"
2026-09-02,24624.650390625,23037.385110580206,26211.915670669794,"ARIMA(0, 1, 0)"
2026-09-03,24624.650390625,22998.18747291139,26251.11330833861,"ARIMA(0, 1, 0)"
2026-09-04,24624.650390625,22959.91252052075,26289.38826072925,"ARIMA(0, 1, 0)"
2026-09-07,24624.650390625,22922.49800919112,26326.80277205888,"ARIMA(0, 1, 0)"
2026-09-08,24624.650390625,22885.888393374426,26363.412387875574,"ARIMA(0, 1, 0)"
2026-09-09,24624.650390625,22850.033858372302,26399.266922877698,"ARIMA(0, 1, 0)"
2026-09-10,24624.650390625,22814.889525204824,26434.411256045176,"ARIMA(0, 1, 0)"
2026-09-11,24624.650390625,22780.41479193698,26468.88598931302,"ARIMA(0, 1, 0)"
2026-09-14,24624.650390625,22746.57278388721,26502.72799736279,"ARIMA(0, 1, 0)"
2026-09-15,24624.650390625,22713.329891495738,26535.970889754262,"ARIMA(0, 1, 0)"
2026-09-16,24624.650390625,22680.655379352207,26568.645401897793,"ARIMA(0, 1, 0)"
