Simulation,Terminal Portfolio Value,Profit or Loss
1,1030975.7101135321,30975.710113532143
2,993501.9105999365,-6498.089400063502
3,1077589.7184280006,77589.71842800057
4,1087529.5691099027,87529.56910990272
5,1012899.6506566161,12899.650656616082
6,985417.859666738,-14582.14033326204
7,970588.3633367012,-29411.63666329882
8,970464.2257630669,-29535.774236933095
9,973603.5799951807,-26396.420004819287
10,1023313.5147568987,23313.514756898745
11,1074064.1601191233,74064.16011912329
12,1062655.9831296862,62655.98312968621
13,1275475.9680191188,275475.96801911877
14,995737.0316509361,-4262.968349063885
15,992819.7957211294,-7180.204278870602
16,1125278.4634089887,125278.46340898867
17,979229.5362412712,-20770.463758728816
18,1079930.0907547886,79930.0907547886
19,1021455.7177740402,21455.717774040182
20,1168507.4945829904,168507.49458299042
21,956154.1441745346,-43845.855825465405
22,968054.5842796358,-31945.415720364195
23,1114458.5896474326,114458.58964743256
24,942554.2720445358,-57445.72795546416
25,988767.7027171978,-11232.297282802174
26,1240216.296598759,240216.296598759
27,1024313.1482393093,24313.148239309317
28,989507.5670094417,-10492.432990558329
29,962465.1130521302,-37534.88694786979
30,942589.6492416384,-57410.35075836163
31,942794.9943679326,-57205.00563206745
32,1037784.8899476647,37784.88994766469
33,1101762.682922962,101762.68292296189
34,1037993.9217318866,37993.92173188657
35,979584.598843391,-20415.401156608947
36,906488.0129864855,-93511.9870135145
37,1056128.1156109679,56128.115610967856
38,962596.7381653211,-37403.26183467894
39,959386.387574714,-40613.61242528597
40,1058793.3646535526,58793.36465355265
41,1034916.8202701882,34916.82027018815
42,1005113.0000788808,5113.00007888081
43,820128.2908320769,-179871.70916792308
44,1042960.2379227589,42960.23792275891
45,1038703.1222353687,38703.122235368704
46,924490.0274901879,-75509.9725098121
47,1050850.6512587673,50850.65125876735
48,951987.2323782102,-48012.767621789826
49,1031947.5694843625,31947.569484362495
50,1081643.5960214222,81643.59602142219
51,1032208.1544746719,32208.15447467193
52,1134024.1057455812,134024.1057455812
53,1085738.0389844426,85738.0389844426
54,1102256.5927043967,102256.5927043967
55,1116798.5036928323,116798.50369283231
56,1049615.106287571,49615.1062875709
57,1014690.7646688153,14690.764668815304
58,1025459.8018045084,25459.80180450843
59,1150648.2555175903,150648.25551759033
60,835849.373355678,-164150.62664432195
61,933027.2772130688,-66972.7227869312
62,1093432.0663426323,93432.06634263229
63,1064213.0287068365,64213.028706836514
64,948742.0309443154,-51257.96905568463
65,1050879.7846287473,50879.784628747264
66,979802.4727476008,-20197.527252399246
67,1022497.3671862581,22497.36718625808
68,1174722.2065580366,174722.20655803662
69,1066831.9152290013,66831.91522900132
70,1049150.4953804668,49150.495380466804
71,982691.4529818855,-17308.547018114477
72,1124290.039638987,124290.03963898704
73,1120071.6543794055,120071.65437940555
74,976010.8387755686,-23989.16122443136
75,1122877.5720312968,122877.57203129679
76,1047758.9850809725,47758.98508097255
77,941293.0801972133,-58706.919802786666
78,1044519.3036586525,44519.30365865247
79,1039855.2290181855,39855.22901818552
80,993174.0299708047,-6825.970029195305
81,929718.1485137072,-70281.85148629278
82,1066816.6275051208,66816.62750512082
83,1107801.22748365,107801.22748364997
84,981177.31261948,-18822.687380520045
85,1003891.3517559993,3891.3517559992615
86,1085985.502852167,85985.502852167
87,1103117.5205307868,103117.52053078683
88,1054238.7138623234,54238.713862323435
89,1115430.3181643514,115430.3181643514
90,1033251.9836997911,33251.98369979113
91,1073722.495403664,73722.49540366395
92,996667.4856107713,-3332.514389228658
93,992199.8419579099,-7800.15804209013
94,986083.4032780809,-13916.596721919137
95,982796.569852746,-17203.430147254025
96,953726.0930656551,-46273.90693434491
97,924307.1874897626,-75692.81251023745
98,990424.1440550004,-9575.85594499961
99,1049963.1653245026,49963.165324502625
100,956256.7166783101,-43743.28332168993
101,1078055.811771147,78055.81177114695
102,1068732.3044733482,68732.3044733482
103,883450.3331605118,-116549.6668394882
104,988653.1588454852,-11346.841154514812
105,989991.7354915324,-10008.264508467633
106,1014520.4356970097,14520.43569700967
107,1100800.5652240778,100800.56522407779
108,1125876.6469795953,125876.6469795953
109,957757.5696353721,-42242.43036462786
110,951733.4914157316,-48266.50858426839
111,1010883.0172745276,10883.017274527578
112,1039240.5719265505,39240.571926550474
113,953968.8256074879,-46031.17439251207
114,1060303.717891029,60303.71789102908
115,997361.6421298435,-2638.3578701565275
116,1033674.4645401461,33674.46454014606
117,1024917.1686423866,24917.16864238656
118,979026.1699881691,-20973.830011830898
